"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SS","Adeiny Hechavarria",2400,"Mia@LAD 10:10PM ET",4.105,"Mia"
"C","Austin Barnes",2400,"Mia@LAD 10:10PM ET",2.333,"LAD"
"2B/SS","Daniel Castro",2300,"Atl@Bos 07:10PM ET",5.000,"Atl"
"SS","Nick Ahmed",2300,"StL@Ari 09:40PM ET",5.348,"Ari"
"OF","Jordan Schafer",2200,"Mia@LAD 10:10PM ET",0,"LAD"
"3B/SS","Miguel Rojas",2200,"Mia@LAD 10:10PM ET",1.538,"Mia"
"3B/OF","Brandon Drury",2200,"StL@Ari 09:40PM ET",6.353,"Ari"
"OF","Ichiro Suzuki",2100,"Mia@LAD 10:10PM ET",3.071,"Mia"
"C","A.J. Ellis",2100,"Mia@LAD 10:10PM ET",5.462,"LAD"
"2B/SS","Rafael Furcal",2000,"Mia@LAD 10:10PM ET",0,"Mia"
"1B","Jeff Baker",2000,"Mia@LAD 10:10PM ET",0,"Mia"
"C","Gerald Laird",2000,"StL@Ari 09:40PM ET",0,"Ari"
"C","Jeff Mathis",2000,"Mia@LAD 10:10PM ET",4.750,"Mia"
"3B","Don Kelly",2000,"Mia@LAD 10:10PM ET",0,"Mia"
"OF","Rickie Weeks Jr.",2000,"StL@Ari 09:40PM ET",2.294,"Ari"
"1B/3B","Chris Johnson",2000,"Mia@LAD 10:10PM ET",1.667,"Mia"
"2B/3B","Elian Herrera",2000,"Mia@LAD 10:10PM ET",0,"LAD"
"2B/SS","Charlie Culberson",2000,"Mia@LAD 10:10PM ET",2.818,"LAD"
"C","Hector Sanchez",2000,"CWS@Bal 07:05PM ET",0,"CWS"
"C","Cody Stanley",2000,"StL@Ari 09:40PM ET",0,"StL"
"C","Kevan Smith",2000,"CWS@Bal 07:05PM ET",0.000,"CWS"
"SS","Tim Anderson",2000,"CWS@Bal 07:05PM ET",0,"CWS"
